TimeStamp;DriverId;CurveId
30.11.YY 02:56:05.871;1;1
30.11.YY 02:56:05.945;1;1
30.11.YY 02:56:06.096;1;1
30.11.YY 02:56:06.311;1;1
30.11.YY 02:56:06.495;1;1
30.11.YY 02:56:06.696;1;1
30.11.YY 02:56:06.896;1;1
30.11.YY 02:56:07.094;1;1
30.11.YY 02:56:07.292;1;1
30.11.YY 02:56:07.493;1;1
30.11.YY 02:56:11.048;1;1
30.11.YY 02:56:11.052;1;1
30.11.YY 02:56:11.229;1;1
30.11.YY 02:56:11.422;1;1
30.11.YY 02:56:12.192;1;1
30.11.YY 02:56:12.232;1;1
30.11.YY 02:56:12.432;1;1
30.11.YY 02:56:12.632;1;1
30.11.YY 02:56:12.846;1;1
30.11.YY 02:56:13.030;1;1
30.11.YY 02:56:13.231;1;1
30.11.YY 02:56:13.430;1;1
30.11.YY 02:56:13.629;1;1
30.11.YY 02:56:13.829;1;1
30.11.YY 02:56:17.236;1;1
30.11.YY 02:56:17.413;1;1
30.11.YY 02:56:17.593;1;1
30.11.YY 02:56:17.798;1;1
30.11.YY 02:56:17.995;1;1
30.11.YY 02:56:18.196;1;1
30.11.YY 02:56:18.394;1;1
30.11.YY 02:56:18.599;1;1
30.11.YY 02:56:18.795;1;1
30.11.YY 02:56:18.997;1;1
30.11.YY 02:56:19.198;1;1
30.11.YY 02:56:19.405;1;1
30.11.YY 02:56:19.598;1;1
30.11.YY 02:56:19.800;1;1
30.11.YY 02:56:19.998;1;1
30.11.YY 02:56:20.198;1;1
30.11.YY 02:56:20.397;1;1
30.11.YY 02:56:20.596;1;1
30.11.YY 02:56:20.798;1;1
30.11.YY 02:56:20.997;1;1
30.11.YY 02:56:21.195;1;1
30.11.YY 02:56:21.402;1;1
30.11.YY 02:56:21.598;1;1
30.11.YY 02:56:21.799;1;1
30.11.YY 02:56:21.997;1;1
30.11.YY 02:56:22.194;1;1
30.11.YY 02:56:22.398;1;1
30.11.YY 02:56:22.595;1;1
30.11.YY 02:56:22.795;1;1
30.11.YY 02:56:22.993;1;1
30.11.YY 02:56:23.197;1;1
30.11.YY 02:56:23.409;1;1
